d-08-2026 10:45:43 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:43 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:45:43 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:43 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:45 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:45 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:45 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:45 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:46 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:47 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:45:47 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:47 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:48 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:49 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:49 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 2
d-08-2026 10:45:49 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:50 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:50 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:50 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:50 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:52 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:52 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:52 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:52 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:55 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:55 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:45:57 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:57 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:58 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:45:58 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:45:58 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:45:59 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:00 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
